,location
2092,"Marysville, WA"
2093,"Williamsburg, KY"
2094,"Stead, NV"
2095,"East Los Angeles, CA"
2096,"Peoria, AZ"
2097,"Stanfordville, NY"
2098,"Enid, OK"
2099,"Hammond, LA"
2100,"Johns Island, SC"
2101,"Epping, NH"
2102,"Greenback, TN"
2103,"Hastings, MN"
2104,"Victorville, CA"
2105,"Bartlett, TN"
2106,"Scarbo, WV"
2107,"Chinle, AZ"
2108,"Hayti, MO"
2109,"Auburn, CA"
2110,"Lawtey, FL"
2111,"Larimer County, CO"
2112,"Clovis, NM"
2113,"Okarche, OK"
2114,"Oak Ridge, TN"
2115,"Thousand Oaks, CA"
2116,"Sullivan, IN"
2117,"Orem, OR"
2118,"Fort Smith, AR"
2119,"Jeffersonville, OH"
2120,"Woodville, CA"
2121,"Hilltop, OH"
2122,"Quinlan, TX"
2123,"Kearns, UT"
2124,"Elkhorn, WI"
2125,"Darlington County, SC"
2126,"Washington, NC"
2127,"Quincy, FL"
2128,"Snellville, GA"
2129,"Riverton, UT"
2130,"Newport, TN"
2131,"Alderwood Manor, WA"
2132,"Parkville, MD"
2133,"Bandon, OR"
2134,"Danville, CA"
2135,"St. Clair Shores, MI"
2136,"Clear Creek Canyon, CO"
2137,"Glen Burnie, MD"
2138,"Cocke County, TN"
2139,"Port Charlotte, FL"
2140,"Camp Croft, SC"
2141,"St. Cloud, FL"
2142,"Corona, CA"
2143,"Charleston View, CA"
2144,"Shakopee, MN"
2145,"Clarksdale, MS"
2146,"Robbins, IL"
2147,"Mantoloking, NJ"
2148,"Pratt, KS"
2149,"Wythe County, VA"
2150,"Auburn, MA"
2151,"Haynesville, AL"
2152,"Paradise, CA"
2153,"Demopolis, AL"
2154,"Missoula, MT"
2155,"Magnolia, AR"
2156,"Stillwater, MN"
2157,"Franklinton, OH"
2158,"Lincoln Township, MI"
2159,"Talladega, AL"
2160,"Bell Gardens, CA"
2161,"Palmer, AK"
2162,"Gunnison County, CO"
2163,"Bremen, KY"
2164,"South Knoxville, TN"
2165,"Clinton, UT"
2166,"Virginia, MN"
2167,"Bemidji, MN"
2168,"Old Town, ME"
2169,"New Underwood, SD"
2170,"Tamarac, FL"
2171,"Philadephia, PA"
2172,"Martinez, CA"
2173,"Henry County, GA"
2174,"West Wendover, NV"
2175,"Noble County, OK"
2176,"Fredonia, NY"
2177,"Bibb County, GA"
2178,"Pahoa, HI"
2179,"Rangley, CO"
2180,"Pope County, AR"
2181,"Calhoun, GA"
2182,"Bushnell, FL"
2183,"Shirley, NY"
2184,"Hanford, CA"
2185,"Apple Creek, OH"
2186,"Natomas, CA"
2187,"Franklin Township, PA"
2188,"Union City, PA"
2189,"Springfield, FL"
2190,"Wailuku, HI"
2191,"Rector, AR"
2192,"Tullahoma, TN"
2193,"Crawfordsville, IN"
2194,"Danbury, CT"
2195,"Fort Dodge, IA"
2196,"Longmont, CO"
2197,"Shallotte, NC"
2198,"Davidson County, NC"
2199,"Niles, OH"
2200,"Bozeman, MT"
2201,"Greenport, NY"
2202,"Albert Lea, MN"
2203,"Treme, LA"
2204,"San Marcos, TX"
2205,"Union County, SC"
2206,"Milwaukie, OR"
2207,"Hurricane, WV"
2208,"Glen Valley, CA"
2209,"Leadwood, MO"
2210,"Paramus, NJ"
2211,"Eclectic, AL"
2212,"Lake Charles, LA"
2213,"Huntsville, TX"
2214,"Dearborn County, IN"
2215,"Calabasas, CA"
2216,"White Lake, SD"
2217,"Linda, CA"
2218,"Logan Township, NJ"
2219,"Roseville, CA"
2220,"Fort Lupton, CO"
2221,"Sperry, OK"
2222,"O'Fallon, MO"
2223,"St. Louis Park, MN"
2224,"South Haven, IN"
2225,"Naschitti, NM"
2226,"Ehrenberg, AZ"
2227,"Dyersburg, TN"
2228,"North Escambia, FL"
2229,"Mercury, NV"
2230,"Kirkwood, NY"
2231,"Butte County, CA"
2232,"Tehama County, CA"
2233,"Kalihi, HI"
2234,"Passaic, NJ"
2235,"Waukegan, IL"
2236,"Clarksburg, WV"
2237,"Farmville, VA"
2238,"LaSalle, CO"
2239,"Walter Hill, TN"
2240,"Stone County, MS"
2241,"Snyder, TX"
2242,"Banning, CA"
2243,"Barberton, OH"
2244,"Bailey, NC"
2245,"Del City, OK"
2246,"Montgomery, WV"
2247,"Crestwood, KY"
2248,"Defiance, OH"
2249,"Cinco Ranch, TX"
2250,"Apex, NC"
2251,"Aspers, PA"
2252,"Clinton, MS"
2253,"Napa Valley, CA"
2254,"Claiborne County, TN"
2255,"Pelehatchie, MS"
2256,"Walton, WV"
2257,"Poteet, TX"
2258,"Blountville, TN"
2259,"Flint, MI"
2260,"McIntosh County, GA"
2261,"Miltona, MN"
2262,"Huger, SC"
2263,"Struthers, OH"
2264,"DeRidder, LA"
2265,"Lone Tree, CO"
2266,"Fairfield, TX"
2267,"Sebewaing, MI"
2268,"Mount Holly, NC"
2269,"Fairchild, WI"
2270,"Carter County, KY"
2271,"Glenoma, WA"
2272,"Rancho Mirage, CA"
2273,"DeKalb County, GA"
2274,"Athens, GA"
2275,"Monahans, TX"
2276,"Cheatham County, TN"
2277,"Pennfield Township, MI"
2278,"Quanah, TX"
2279,"Cofield, NC"
2280,"Westminster, MD"
2281,"Salacoa, GA"
2282,"Kalamazoo, MI"
2283,"Ashland, CA"
2284,"Grand Island, NE"
2285,"Greensburg, PA"
2286,"Monroe County, MS"
2287,"Ontario, OR"
2288,"Macoupin County, IL"
2289,"The Dalles, OR"
2290,"Bastrop, LA"
2291,"Kittitas, WA"
2292,"State College, PA"
2293,"Sandy Springs, GA"
2294,"Ernul, NC"
2295,"Walterboro, SC"
2296,"Port St. Joe, FL"
2297,"Thurmont, MD"
2298,"Horry County, SC"
2299,"Burnet, TX"
2300,"Manchester, NH"
2301,"Cochran County, TX"
2302,"Terrytown, LA"
2303,"Watuaga County, NC"
2304,"Union City, GA"
2305,"Brownstown, IN"
2306,"Boynton Beach, FL"
2307,"Pelion, SC"
2308,"Bloomingdale, IL"
2309,"New Albany, IN"
2310,"Greeneville, TN"
2311,"Blytheville, AR"
2312,"Hamilton County, TN"
2313,"Henry County, IN"
2314,"Mexico Beach, FL"
2315,"Canutillo, TX"
2316,"Ahwatukee, AZ"
2317,"Clinton, LA"
2318,"Dalhart, TX"
2319,"Rushville, NE"
2320,"Pigeon Forge, TN"
2321,"Lee, NY"
2322,"Pentress, WV"
2323,"Coon Rapids, MN"
2324,"Wethersfield, CT"
2325,"Watauga, TX"
2326,"Owingsville, KY"
2327,"Clarksville, IN"
2328,"Hancock County, MS"
2329,"Welch, WV"
2330,"Welcome, NC"
2331,"Perris, CA"
2332,"Meadowlake, NM"
2333,"Bruce, FL"
2334,"Hiltons, VA"
2335,"Glenwood, GA"
2336,"Cedar Hill, TX"
2337,"Hermantown, MN"
2338,"Angel Fire, NM"
2339,"Lumberton, MS"
2340,"Goleta, CA"
2341,"Wytheville, VA"
2342,"Tunbridge, VT"
2343,"Parks, AZ"
2344,"South Sioux City, NE"
2345,"New Boston, TX"
2346,"Davie, FL"
2347,"Tonalea, AZ"
2348,"Garden Grove, CA"
2349,"Huron, CA"
2350,"Blackwell, OK"
2351,"Ashland, WI"
2352,"Montgomery, NY"
2353,"Pearl River County, MS"
2354,"Indian River County, FL"
2355,"Joliet, IL"
2356,"Havre de Grace, MD"
2357,"Gorham, ME"
2358,"Collierville, TN"
2359,"Ardsley, NY"
2360,"Davidsonville, MD"
2361,"Indialantic, FL"
2362,"Trinity, NC"
2363,"Escalon, CA"
2364,"Braxton, MS"
2365,"San Gabriel, CA"
2366,"Shirley, AR"
2367,"Menifee, CA"
2368,"Kingsport, TN"
2369,"Porteau, OK"
2370,"Hopkins County, TX"
2371,"Rockville, MD"
2372,"Belmont, NH"
2373,"Renton, WA"
2374,"Toppenish, WA"
2375,"Centralia, WA"
2376,"Friendly Hills, CO"
2377,"Big Sur, CA"
2378,"Phoenix, MD"
2379,"Menasha, WI"
2380,"Timberville, VA"
2381,"Sugarcreek, OH"
2382,"Orangeburg, SC"
2383,"Wolfe County, KY"
2384,"Yucca Valley, CA"
2385,"Smyrna, TN"
2386,"Pearl, MS"
2387,"Denton County, TX"
2388,"Pontotoc County, MS"
2389,"Bagley Township, MI"
2390,"Elyria, OH"
2391,"Salem, IN"
2392,"Poulsbo, WA"
2393,"West Des Moines, IA"
2394,"Roswell, GA"
2395,"Mountain Grove, MO"
2396,"Oak View, CA"
2397,"Ruskin, FL"
2398,"Rosedale, MD"
2399,"Brooklyn, OH"
2400,"Adelanto, CA"
2401,"Arpin, WI"
2402,"Coleman, FL"
2403,"Penn Hills, PA"
2404,"Chino Hills, CA"
2405,"Memphis, IN"
2406,"Stone County, AR"
2407,"Pemberton, NJ"
2408,"Wesson, MS"
2409,"Ranburne, AL"
2410,"Asbury Park, NJ"
2411,"Ross Township, PA"
2412,"Port Allen, LA"
2413,"Hartford, CT"
2414,"Three Springs, PA"
2415,"Sun City, SC"
2416,"Boyton Beach, FL"
2417,"Stroudsburg, PA"
2418,"Council Bluffs, IA"
2419,"Jackson County, KY"
2420,"Charlottte, NC"
2421,"Revere, MA"
2422,"Safety Harbor, FL"
2423,"Hanceville, AL"
2424,"Aliceville, CA"
2425,"Lowell, AR"
2426,"Irvington, NJ"
2427,"Pocahontas County, WV"
2428,"Rifle, CO"
2429,"Shaler Township, PA"
2430,"Moss Point, MS"
2431,"Bradley County, TN"
2432,"Randolph County, NC"
2433,"Chetopa, KS"
2434,"Belton, SC"
2435,"Spokane Valley, WA"
2436,"Springville, IN"
2437,"Caledonia, WI"
